institution_name,max_enrollment,min_enrollment,enrollment_change
"University of North Texas",46724,42168,4556
"Texas A&M University",69517,66057,3460
"The University of Texas at Dallas",31570,29696,1874
"The University of Texas at San Antonio",34864,33557,1307
"Lamar University",16919,15687,1232
"Texas Southern University",8632,7524,1108
"Stephen F. Austin State University",11888,10781,1107
"The University of Texas at Austin",52883,51786,1097
"University of Houston-Clear Lake",9279,8210,1069
"University of Houston-Downtown",15077,14105,972
"Texas State University",38723,37864,859
"Texas A&M University-Commerce",11500,10754,746
"Texas A&M University-San Antonio",7511,6858,653
"Texas Woman's University",15828,15180,648
"Angelo State University",10885,10244,641
"Texas Tech University",40092,39451,641
"The University of Texas at Arlington",41515,40942,573
"Tarleton State University",14513,13995,518
"West Texas A&M University",9545,9029,516
"University of North Texas at Dallas",4186,3701,485
"Texas A&M University-Kingsville",6553,6070,483
"The University of Texas at Tyler",9442,8968,474
"The University of Texas at El Paso",24351,23880,471
"University of Houston",46971,46505,466
"Sam Houston State University",21219,20761,458
"Prairie View A&M University",9415,8998,417
"University of Houston-Victoria",4198,3784,414
"The University of Texas Rio Grande Valley",31718,31317,401
"Midwestern State University",5422,5172,250
"The University of Texas Permian Basin",5283,5043,240
"Sul Ross State University Rio Grande College",840,642,198
"Sul Ross State University",1485,1353,132
"Texas A&M International University",8256,8145,111
"Texas A&M University-Corpus Christi",10855,10762,93
"Texas A&M University at Galveston",2232,2151,81
"Texas A&M University-Central Texas",2251,2194,57
"Texas A&M University-Texarkana",2078,2056,22
